name,length,count,frequency,rank,rank_bin
ExtensionList,13,236.0,0.015027061445399554,319.0,"(100.0, 1000.0]"
strict,6,235.0,0.014963387456224133,320.0,"(100.0, 1000.0]"
answer,6,234.0,0.01489971346704871,321.0,"(100.0, 1000.0]"
w,1,234.0,0.01489971346704871,322.0,"(100.0, 1000.0]"
msg,3,233.0,0.014836039477873288,323.0,"(100.0, 1000.0]"
security,8,233.0,0.014836039477873288,324.0,"(100.0, 1000.0]"
mode,4,230.0,0.014645017510347023,325.0,"(100.0, 1000.0]"
arg,3,228.0,0.01451766953199618,326.0,"(100.0, 1000.0]"
lock,4,228.0,0.01451766953199618,327.0,"(100.0, 1000.0]"
Action,6,227.0,0.014453995542820758,328.0,"(100.0, 1000.0]"
queue,5,227.0,0.014453995542820758,329.0,"(100.0, 1000.0]"
AbstractBuild,13,226.0,0.014390321553645335,330.0,"(100.0, 1000.0]"
password,8,226.0,0.014390321553645335,331.0,"(100.0, 1000.0]"
launcher,8,224.0,0.014262973575294493,332.0,"(100.0, 1000.0]"
TaskListener,12,224.0,0.014262973575294493,333.0,"(100.0, 1000.0]"
delete,6,224.0,0.014262973575294493,334.0,"(100.0, 1000.0]"
provider,8,223.0,0.01419929958611907,335.0,"(100.0, 1000.0]"
trim,4,222.0,0.014135625596943648,336.0,"(100.0, 1000.0]"
JdbcType,8,221.0,0.014071951607768227,337.0,"(100.0, 1000.0]"
withLogging,11,221.0,0.014071951607768227,338.0,"(100.0, 1000.0]"
Func0,5,220.0,0.014008277618592805,339.0,"(100.0, 1000.0]"
checkPermission,15,220.0,0.014008277618592805,340.0,"(100.0, 1000.0]"
arguments,9,219.0,0.013944603629417383,341.0,"(100.0, 1000.0]"
display,7,219.0,0.013944603629417383,342.0,"(100.0, 1000.0]"
wanted,6,218.0,0.01388092964024196,343.0,"(100.0, 1000.0]"
HashSet,7,218.0,0.01388092964024196,344.0,"(100.0, 1000.0]"
Result,6,217.0,0.01381725565106654,345.0,"(100.0, 1000.0]"
commandKey,10,217.0,0.01381725565106654,346.0,"(100.0, 1000.0]"
timer,5,217.0,0.01381725565106654,347.0,"(100.0, 1000.0]"
action,6,217.0,0.01381725565106654,348.0,"(100.0, 1000.0]"
writeNumberField,16,217.0,0.01381725565106654,349.0,"(100.0, 1000.0]"
threadPoolKey,13,216.0,0.013753581661891117,350.0,"(100.0, 1000.0]"
MockitoException,16,215.0,0.013689907672715695,351.0,"(100.0, 1000.0]"
array,5,215.0,0.013689907672715695,352.0,"(100.0, 1000.0]"
lhs,3,215.0,0.013689907672715695,353.0,"(100.0, 1000.0]"
items,5,214.0,0.013626233683540274,354.0,"(100.0, 1000.0]"
strategy,8,214.0,0.013626233683540274,355.0,"(100.0, 1000.0]"
rhs,3,214.0,0.013626233683540274,356.0,"(100.0, 1000.0]"
timestamp,9,212.0,0.01349888570518943,357.0,"(100.0, 1000.0]"
annotation,10,212.0,0.01349888570518943,358.0,"(100.0, 1000.0]"
getDescriptor,13,212.0,0.01349888570518943,359.0,"(100.0, 1000.0]"
save,4,211.0,0.013435211716014007,360.0,"(100.0, 1000.0]"
permission,10,211.0,0.013435211716014007,361.0,"(100.0, 1000.0]"
constructor,11,211.0,0.013435211716014007,362.0,"(100.0, 1000.0]"
Job,3,211.0,0.013435211716014007,363.0,"(100.0, 1000.0]"
database,8,210.0,0.013371537726838587,364.0,"(100.0, 1000.0]"
SystemProperties,16,210.0,0.013371537726838587,365.0,"(100.0, 1000.0]"
position,8,209.0,0.013307863737663165,366.0,"(100.0, 1000.0]"
hystrix,7,207.0,0.013180515759312322,367.0,"(100.0, 1000.0]"
u,1,207.0,0.013180515759312322,368.0,"(100.0, 1000.0]"
driver,6,206.0,0.0131168417701369,369.0,"(100.0, 1000.0]"
valueOf,7,206.0,0.0131168417701369,370.0,"(100.0, 1000.0]"
actual,6,204.0,0.012989493791786055,371.0,"(100.0, 1000.0]"
address,7,204.0,0.012989493791786055,372.0,"(100.0, 1000.0]"
SWT,3,203.0,0.012925819802610634,373.0,"(100.0, 1000.0]"
gson,4,203.0,0.012925819802610634,374.0,"(100.0, 1000.0]"
listeners,9,203.0,0.012925819802610634,375.0,"(100.0, 1000.0]"
startsWith,10,203.0,0.012925819802610634,376.0,"(100.0, 1000.0]"
getKey,6,202.0,0.012862145813435212,377.0,"(100.0, 1000.0]"
force,5,202.0,0.012862145813435212,378.0,"(100.0, 1000.0]"
defaultValue,12,201.0,0.01279847182425979,379.0,"(100.0, 1000.0]"
date,4,200.0,0.012734797835084369,380.0,"(100.0, 1000.0]"
copy,4,200.0,0.012734797835084369,381.0,"(100.0, 1000.0]"
addAll,6,198.0,0.012607449856733524,382.0,"(100.0, 1000.0]"
hudson,6,198.0,0.012607449856733524,383.0,"(100.0, 1000.0]"
names,5,197.0,0.012543775867558102,384.0,"(100.0, 1000.0]"
